Month,fecha,Cost,MA-13,Tendencia,Serie sin tendencia,Mes,Estacionalidad,Residual,,
1991 jul.,01/07/1991,0.4297950,,,,7,,,,
1991 ago.,01/08/1991,0.4009060,,,,8,,,1,0.214452
1991 sep.,01/09/1991,0.4321590,,,,9,,,2,-0.249306
1991 oct.,01/10/1991,0.4925430,,,,10,,,3,-0.182359
1991 nov.,01/11/1991,0.5023690,,,,11,,,4,-0.197732
1991 dic.,01/12/1991,0.6026520,,,,12,,,5,-0.140021
1992 ene.,01/01/1992,0.6601190,0.4495110,,,1,,,6,-0.099822
1992 feb.,01/02/1992,0.3362200,0.4530239,,,2,,,7,-0.009184
1992 mar.,01/03/1992,0.3513480,0.4633205,,,3,,,8,0.044517
1992 abr.,01/04/1992,0.3798080,0.4738164,0.4705398,-0.0907318,4,-0.197732147,0.107000,9,0.092108
1992 may.,01/05/1992,0.3618010,0.4817149,0.4734217,-0.1116207,5,-0.140020727,0.028400,10,0.139025
1992 jun.,01/06/1992,0.4105340,0.4799937,0.4768858,-0.0663518,6,-0.09982249,0.033471,11,0.153386
1992 jul.,01/07/1992,0.48338867,0.4923979,0.4796235,0.0037651,7,-0.009183856,0.012949,12,0.253233
1992 ago.,01/08/1992,0.47546342,0.4696842,0.4814458,-0.0059824,8,0.04451671,-0.050499,,
1992 sep.,01/09/1992,0.5347610,0.4772728,0.4814009,0.0533601,9,0.092107829,-0.038748,,
1992 oct.,01/10/1992,0.5686061,0.4824847,0.4853724,0.0832338,10,0.139024537,-0.055791,,
1992 nov.,01/11/1992,0.59522329,0.4865722,0.4883189,0.1069044,11,0.153386308,-0.046482,,
1993 ene.,01/01/1993,0.7515028,0.5038223,0.5053834,0.2461194,1,0.214451655,0.031668,,
1993 feb.,01/02/1993,0.38755434,0.5100769,0.5149159,-0.1273616,2,-0.249306192,0.121945,,
1993 mar.,01/03/1993,0.4272832,0.5205811,0.5288763,-0.1015931,3,-0.182359424,0.080766,,
1993 abr.,01/04/1993,0.41389018,0.5287633,0.5375351,-0.1236449,4,-0.197732147,0.074087,,
1993 may.,01/05/1993,0.42885882,0.5396799,0.5463243,-0.1174655,5,-0.140020727,0.022555,,
1993 jun.,01/06/1993,0.47012642,0.5703346,0.5555229,-0.0853965,6,-0.09982249,0.014426,,
1993 jul.,01/07/1993,0.5092097,0.5894878,0.5636958,-0.0544861,7,-0.009183856,-0.045302,,
1993 ago.,01/08/1993,0.5584430,0.5653468,0.5717636,-0.0133206,8,0.04451671,-0.057837,,
